gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2	EHV-1_48h_3
ORF1	unknown	cluster_1	0	0	0	0.010079575596817	0.011522633744856	0.00837209302325582	0.00967993754879001	0.0112849248968791	0.0116574093122129	0.00540744880181454	0.0061161089897094	0.00657065109179001	0.00529567519858782	0.0048958906622638	0.00473144360272955	0.00364680140225396	0.00388750096889403	0.00403855981186463	0.00245961354658896	0.00240279931850652	0.00267169050070231	0.00226542594438906	0.00238850072332174	0.00236501861426323	0.00278533737079484	0.00265063751592027	0.00244682853378506
ORF2	unknown	cluster_2	0	0	0	0.00017683465959328	0.000411522633744856	0	0.000624512099921936	0.00101175188730641	0.00116574093122129	0.00670589395483383	0.00660151446508317	0.00652087343200372	0.0130447140484988	0.0130136672170244	0.0131609288660762	0.0105718027747061	0.0101182348837625	0.010835644507509	0.00449481008174205	0.00415237338508202	0.0042930440182892	0.00312396144898637	0.00309643263873927	0.00314092377477861	0.00364989927640853	0.00407934993584893	0.00500915421864039
ORF3	L	cluster_3	0	0	0	0.00017683465959328	0.000411522633744856	0.000232558139534884	0.00187353629976581	0.00249046618413884	0.0020571898786258	0.011077873837152	0.0112775872111837	0.0111004181323422	0.0110700554998728	0.0115345808108604	0.0111539085652794	0.00777592169964473	0.00722049643148876	0.0072882608889793	0.00378299257437323	0.00368632963809029	0.00382205957744776	0.0034230641409106	0.00339191726430484	0.00317822690749569	0.00405023828688975	0.00409814878347957	0.00388412641377068
ORF4	unknown	cluster_4	0	0	0.0344827586206897	0.00548187444739169	0.00679012345679012	0.00837209302325582	0.00577673692427791	0.00622616546034711	0.00781732153877803	0.00747838664080734	0.00648825318749596	0.00613924470697551	0.00426346732089697	0.00473536965694368	0.0046460384835467	0.00239983060019293	0.00249825599074632	0.0024906105965062	0.00114291825126824	0.00116510936747931	0.00132125723669677	0.00109670987038883	0.000954169103388839	0.000902735811753471	0.00119249918015681	0.00109973258639245	0.00108225108225108
ORF7,  ORF6,  ORF5	E/L	cluster_5	0.0256410256410256	0.0256410256410256	0	0.0737400530503979	0.0771604938271605	0.0695348837209302	0.0577673692427791	0.0579033387812281	0.0582870465610643	0.0242266855132967	0.0253867063620478	0.02351164797239	0.0147800200457762	0.0145271509814713	0.0145786538445114	0.0120383659192684	0.0119665865714269	0.0123290185902747	0.0105469298274929	0.0108145069486359	0.0104491857804379	0.0130109670987039	0.0130013235248853	0.0124443250744197	0.00955277021818476	0.0101513777205457	0.0117422103588111
ORF8	L	cluster_6	0	0	0	0	0	0	0.000936768149882904	0.000933924819052066	0.00123431392717548	0.0033693829920121	0.00312277522490454	0.00340147341872967	0.00531063473304711	0.00518253531462117	0.00466311950738327	0.0061054513799026	0.00593857509972156	0.0055120883918693	0.00492256895940969	0.00440067538143007	0.00470984440841437	0.00465824747978287	0.00430915078949798	0.00405858083961891	0.00577936209811713	0.00528247618420991	0.00547542049518334
ORF9	L	cluster_3	0	0	0	0.00282935455349248	0.00390946502057613	0.00325581395348837	0.00515222482435597	0.00575920305082108	0.00644586161969416	0.00982873672791821	0.00988609151511229	0.010552863874693	0.0083474202282825	0.0076820766831774	0.00860029550171237	0.00533295688931762	0.00466261619275327	0.00482245717092435	0.00343543848626827	0.00343802764174224	0.00329689108589006	0.00307411100033234	0.00300409369325002	0.00315584502786544	0.00444205944608413	0.00422034129307874	0.00472255017709563
ORF10, ORF11	L	cluster_7	0	0	0	0.0244031830238727	0.0325102880658436	0.0309302325581395	0.0170179547228728	0.0182115339715153	0.0159089350613728	0.0228624963018967	0.0234450844605527	0.0238269064843698	0.0252068155638997	0.0250412768299395	0.0230764632032044	0.0200025096267714	0.0198369873059976	0.0200042667830936	0.0173108670806125	0.0175568611571637	0.0178265526856533	0.0149385177799934	0.0153036412324171	0.0144213911084253	0.0128534375918331	0.0135022723107074	0.0132778947008196
ORF12, ORF13, ORF14	L	cluster_6	0	0	0	0.00813439434129089	0.00823045267489712	0.00953488372093023	0.0220921155347385	0.0189898046540587	0.0194061578550367	0.0409749843857861	0.0412756455892823	0.0398553129355545	0.0376830673029455	0.0404054301962943	0.0392948953360264	0.0329623791261793	0.0325846515260826	0.0332114488705428	0.0407039307030618	0.0433344284088044	0.0429054321594845	0.0417192865846904	0.0417495152205362	0.0400188007788894	0.0321122993513656	0.0327428928606676	0.0323563129887241
ORF18, ORF17, ORF16, ORF15	L	cluster_8	0	0	0	0	0	0.000697674418604651	0	0.000155654136508678	6.85729959541932e-05	0.000788928700568686	0.00077664876059802	0.000696887237008031	0.00276751387496821	0.00272885709044212	0.00315998940976522	0.0680187280897819	0.0687706076307113	0.0664080136140149	0.126927421349178	0.130599210017649	0.129558233266506	0.129799490417636	0.128369602019145	0.128695807873945	0.0739945741287303	0.0739311680194004	0.0811944972024024
ORF17	L	cluster_1	0	0	0	0.00919540229885057	0.00679012345679012	0.00767441860465116	0.00718188914910226	0.00614833839209277	0.00651443461564836	0.00437197988231813	0.00362436088279076	0.00428087874162076	0.00406899337292623	0.00373784626674005	0.003663879612944	0.00292920499729431	0.00271290328350734	0.00289744340310681	0.0020485640000802	0.00201697621648878	0.00192561780237826	0.0011797939514789	0.00120656222105944	0.00116385774077307	0.000779383392745346	0.000888245550547751	0.000996697637013843
ORF18	L	cluster_3	0.0256410256410256	0	0	0.0153846153846154	0.00843621399176955	0.0116279069767442	0.0236533957845433	0.0223363685889953	0.0220805046972502	0.0406627001084777	0.040175393178435	0.0426096767770625	0.0452675512738044	0.0439712896716199	0.0469728155505641	0.0268922193727502	0.0260200218224748	0.0280764250311326	0.0130633551000221	0.0131103454071771	0.0128166119963488	0.00810900631439016	0.00840899996922035	0.00840812611443109	0.00702296838599495	0.00734094999976502	0.00659617062779118
ORF19	L	cluster_8	0	0	0	0	0	0	0.000546448087431694	0.000311308273017355	0.000960021943358705	0.00269550639360968	0.00252410847194356	0.00280414150129422	0.00396427663171122	0.0044831223628692	0.00444960670942616	0.00585840999458862	0.00597434964851506	0.00613226035315072	0.00960118168389956	0.00970287801113921	0.00987400124206516	0.00985377201728149	0.0103665856135923	0.00983310578422376	0.0118270365117695	0.0127550181173894	0.0140820970860497
ORF22, ORF21, ORF20	E	cluster_1	0	0.0256410256410256	0	0.0305923961096375	0.0323045267489712	0.0311627906976744	0.0335675253708041	0.032376060393805	0.0318178701227457	0.0323132046941258	0.0332017345155653	0.0328034777991637	0.0297096354361452	0.0294670702623372	0.0295074686776725	0.0183477244743508	0.0181257713887084	0.0191906011698924	0.00998883816678586	0.0101154413281483	0.00981148118354639	0.00648609726376426	0.00699929206808458	0.00732633526563561	0.00635857598562187	0.00650910099210918	0.00546686515065962
ORF22	L	cluster_6	0	0	0	0.00371352785145889	0.00288065843621399	0.00418604651162791	0.00749414519906323	0.00591485718732975	0.00672015360351094	0.0128365273988363	0.0117953530515824	0.012095971328068	0.0128203210316095	0.0138048064575307	0.015825568584581	0.014434275227631	0.0134214182223627	0.0142441096067118	0.0169031594003355	0.0164987126496497	0.0163177352734002	0.0139027362357372	0.013167533626766	0.0144288517349687	0.0144334990055409	0.0146114043209151	0.0154124531594887
ORF23	L	cluster_6	0	0	0	0.000530503978779841	0.000205761316872428	0.000232558139534884	0.00140515222482436	0.00163436843334112	0.00185147089076322	0.0099273528154893	0.0104685780855608	0.0108515298334108	0.014196598201864	0.0146074114841314	0.0143480600227178	0.0121089491722153	0.0114418931891222	0.0120958339328329	0.011947171778608	0.0132211262978554	0.0132250763786715	0.009648831283926	0.0105574194342701	0.010355349642263	0.00711666475015013	0.00710126469247435	0.00703677087076297
ORF24	L	cluster_9	0.0256410256410256	0	0	0	0.000823045267489712	0.000232558139534884	0.000468384074941452	0.000544789477780372	0.000960021943358705	0.00402682357581934	0.00399650508057731	0.00388265746333046	0.00797343186680031	0.00770500825536599	0.00738754280931599	0.00809746762973594	0.00815659712491876	0.00857325719275441	0.0102461618666328	0.0105547448601487	0.0110827223734281	0.00652486983493963	0.00695004463049032	0.00715474085513701	0.0058219513545513	0.00625061683718788	0.00625823451910408
ORF27, ORF26, ORF25	L	cluster_6	0	0.0769230769230769	0.0344827586206897	0.000530503978779841	0.00123456790123457	0.00162790697674419	0.00374707259953162	0.00342439100319091	0.0030857848179387	0.0401038756122416	0.0410329428515954	0.043572044866264	0.0939757954732449	0.091221794166208	0.0858577663145129	0.122971711800736	0.130833487362641	0.116914818140774	0.0848031974976106	0.0819129185798654	0.0812760760744072	0.0945995347291459	0.0893102280771954	0.0935637174809941	0.0972866384725789	0.0881712950996104	0.0691229060794278
ORF28, ORF29	L	cluster_3	0	0	0	0.000353669319186561	0.000823045267489712	0.000232558139534884	0.00163934426229508	0.00217915791112149	0.00226290886648838	0.0129351434864074	0.0119247945116821	0.0128094511183381	0.012536089876883	0.0138736011740965	0.0124179043291855	0.0091366099647868	0.00943255603188705	0.00845418417618837	0.00417399092349131	0.0034915080717249	0.00344277122243386	0.0036889332003988	0.00332420203761273	0.00325283317292986	0.00224445381408086	0.00171069513438826	0.00252382663449857
ORF30	E	cluster_5	0	0	0	0.0236958443854996	0.0244855967078189	0.0246511627906977	0.0252927400468384	0.0269281656160012	0.0242062675718302	0.00585122119588442	0.00613228917222186	0.00589035640804407	0.00246832318578246	0.00287791230966795	0.00294647661180811	0.00321153800908171	0.00296928754986078	0.00298178678984109	0.00397347894958461	0.00399957215656014	0.00393459568278156	0.00347291458956464	0.00338576133460556	0.00350649447540605	0.00382451522778864	0.00398065598578807	0.00435894803483736
ORF31	E	cluster_1	0	0	0.0344827586206897	0.0419098143236074	0.0438271604938272	0.0397674418604651	0.0479313036690086	0.0589929177367889	0.0555441267228965	0.0361756681239933	0.0365186719306194	0.0381628725028207	0.0240250123416159	0.0227939827554577	0.0229312745005936	0.013301021888651	0.0129384618136504	0.0121404863140452	0.00614569200024061	0.00634125098365791	0.00584354146955482	0.00480225988700565	0.00437071008649081	0.00424509650320434	0.00447187192558805	0.00422974071689406	0.0041750081275773
ORF32, ORF33, ORF34	E/L	cluster_7	0	0	0	0.0682581786030062	0.0627572016460905	0.0713953488372093	0.0458235753317721	0.0499649778192856	0.0547212507714462	0.0670918115775287	0.0651737751601838	0.0696057609344926	0.0588508085628375	0.0598628691983122	0.0595700706300336	0.0485848057784157	0.0467692601227067	0.0485172928749684	0.0298027630550004	0.0289405526820436	0.0288259149810564	0.0225157859754071	0.0213856997753086	0.0215462894573886	0.0204896912704801	0.0198139854026948	0.0190955289769519
ORF37, ORF36, ORF35, ORF35.5	L	cluster_6	0	0	0	0.00017683465959328	0.000205761316872428	0.000465116279069768	0.00163934426229508	0.00186784963810413	0.0010285949393129	0.0144143847999737	0.014707785903825	0.0149996681489348	0.0302033000733017	0.0322532562832508	0.0311472469659831	0.0339779937102479	0.033347841900344	0.0331916033677818	0.0385851875121143	0.0382728877140172	0.0389208204298879	0.0397917359034009	0.0394410415833051	0.0410259853622507	0.0286668285058411	0.0275591106265186	0.0270306110227059
ORF36	L	cluster_6	0	0	0	0.000530503978779841	0.000205761316872428	0	0.000702576112412178	0.00171219550159546	0.000685729959541932	0.00410900364879524	0.0040774059931396	0.00399880533616513	0.0054452705431807	0.00623738763529628	0.00681532851079094	0.00628190951226972	0.00615918481728149	0.006216603739885	0.00444802395449715	0.00449999617996929	0.00441808413532675	0.00432037221668328	0.00391517128874388	0.00399143520072816	0.0046081575461774	0.00466211421239878	0.00549680885649265
ORF37	L	cluster_3	0	0	0	0.00017683465959328	0.000205761316872428	0	0.000624512099921936	0.00101175188730641	0.000960021943358705	0.00174221754708918	0.00160183806873342	0.00175881064578217	0.00137627717025446	0.00135296275912677	0.00151167060953634	0.000831313868040687	0.00081685219745166	0.000759090480608463	0.00070179190867348	0.000565364545530946	0.000621032581286496	0.000620361138805805	0.000689464126319678	0.000619232003103621	0.000856044054326856	0.000907044398178392	0.00121913659463067
ORF38	L	cluster_3	0	0	0	0.00583554376657825	0.00473251028806585	0.00581395348837209	0.0105386416861827	0.0123745038524399	0.0100802304052664	0.013625456099405	0.0130574072875542	0.0133901904825114	0.0110850150343321	0.010858099431297	0.0106243968263458	0.00834058772321954	0.00791810013296207	0.00809200375080002	0.0061022477392275	0.00616552957085775	0.00647707806254507	0.00557771131051291	0.00554649265905383	0.00556562740138917	0.00486795201042585	0.00500049346975031	0.00455999863114488
ORF39	L	cluster_10	0	0.0256410256410256	0	0	0	0.00116279069767442	0.000234192037470726	0.000622616546034711	0.000342864979770966	0.00182439762006509	0.0020387029965698	0.002074069157762	0.00595389471479648	0.00606540084388186	0.00561111633031284	0.0073171305554902	0.00689256306754831	0.0069310418392812	0.00414391412740531	0.00412945320080373	0.00410965184663413	0.00410435360584912	0.00410600510942165	0.00417049023777017	0.00449316655380514	0.0049064992315971	0.00403384494293585
CTO	unknown	cluster_6	0	0	0	0.00866489832007074	0.00596707818930041	0.00976744186046512	0.0110850897736144	0.0110514436921161	0.0100116574093122	0.0213503829591401	0.0214711021940328	0.0209895798765514	0.053570092898709	0.0492455512749954	0.046759302752607	0.0605682736120588	0.0710840284526911	0.0679113104481611	0.0390898093131128	0.035896828610502	0.0374120030176348	0.0400243713304531	0.0382529471513435	0.038974313062811	0.0432323542063279	0.0468937254146321	0.0450396112451448
ORF40	L	cluster_2	0	0	0	0	0	0	0.000234192037470726	0.000389135341271694	0.000548583967633546	0.00210380986818316	0.00236230664681898	0.00219021703059667	0.00457761754454201	0.00408181984956889	0.00453501182860901	0.00414088417288192	0.00386365126969836	0.00399390743065237	0.00220563171297379	0.00220415772142808	0.00223821809497214	0.00182784978398139	0.00158822986241497	0.00171594410498594	0.00140118653668426	0.00142871241992866	0.00159129408141266
ORF41, ORF42, OF43	L	cluster_6	0	0	0	0.00159151193633952	0.00349794238683128	0.00255813953488372	0.00273224043715847	0.00256829325239318	0.00253720085030515	0.00903980802734953	0.00930360494466378	0.00919227450720117	0.0228432091193322	0.0209479911942763	0.0221797094517845	0.0289783466265126	0.0271886570830625	0.0277440128598858	0.026083265939031	0.0263123715514673	0.0262125765349716	0.0279661016949153	0.0291483271261042	0.0283578414915285	0.0268056779996678	0.0263794829376959	0.0260381910579539
ORF44	L	cluster_6	0	0	0	0.00123784261715296	0.00226337448559671	0.00186046511627907	0.00273224043715847	0.00163436843334112	0.00219433587053418	0.00333651096282174	0.00328457705002912	0.0033019180991571	0.00426346732089697	0.00437993028802055	0.00411652674461307	0.00544275306056827	0.0051932719998569	0.00579984818190388	0.00586163337053944	0.00582554683739657	0.00574767737982603	0.00501827849783981	0.00533719104927822	0.00529704484582615	0.00504256796180596	0.00469031248384474	0.00427339458960012
ORF45, ORF46	L	cluster_10	0	0.0256410256410256	0	0.000884173297966401	0.000411522633744856	0.000697674418604651	0.00257611241217799	0.00194567670635847	0.00192004388671741	0.00756056671378324	0.00747524432075594	0.00695227981681821	0.0136430954268703	0.0142175747569253	0.0152960568456473	0.0157949634927731	0.0143217443669992	0.0160550117336535	0.0122746746693223	0.0128123830115594	0.0123789715867174	0.0102359587902958	0.0106805380282557	0.0109969635249968	0.0101958679903408	0.0103722641802058	0.0119560939719043
ORF48, ORF49, ORF50, ORF51	E/L	cluster_3	0	0	0	0.0152077807250221	0.0166666666666667	0.0123255813953488	0.0204527712724434	0.0191454587905674	0.0157717890694644	0.0256073107392919	0.0267620218756068	0.028008229906418	0.0209882268463805	0.0189758759860576	0.0187891262202256	0.0153008807221451	0.0142680825438089	0.0148493974409224	0.0129931759091547	0.0124800403395243	0.0123998116062237	0.00932757283704442	0.0100526331989289	0.00934070443235823	0.0104471446033024	0.00997278866805465	0.00937665759800147
ORF52	L	cluster_8	0	0	0	0.00017683465959328	0.000411522633744856	0.000697674418604651	0.00140515222482436	0.00132306016032376	0.000891448947404512	0.00884257585220736	0.0087049381917028	0.00884383088869715	0.013628135892411	0.0140685195376995	0.0141430877366789	0.0198338940780651	0.0200158600499651	0.0207038207554191	0.0379636003930035	0.038418048881113	0.0391167166132468	0.0396588013736568	0.0420265320570039	0.0419585636801779	0.0467161553826432	0.0487971087372344	0.0399491812535291
ORF53, ORF54	E	cluster_8	0.0256410256410256	0	0	0.02210433244916	0.0240740740740741	0.0241860465116279	0.00850897736143638	0.0109736166238618	0.00822875951450319	0.00392820748824825	0.00375380234289043	0.0037167319307095	0.00608853052493006	0.00623738763529628	0.00654203212940584	0.0189947376263636	0.0170644597745011	0.0184712016948059	0.0576839530267282	0.0586069111995661	0.058714670956932	0.0896421845574388	0.0916864169411185	0.0945261383050949	0.129620401957402	0.129321972563082	0.127812569512174
ORF57, ORF58	L	cluster_8	0	0	0	0.00159151193633952	0.00123456790123457	0.00162790697674419	0.000858704137392662	0.000778270682543389	0.00123431392717548	0.00192301370763617	0.001763639893858	0.00142695958054025	0.00439810313103056	0.00424234085488901	0.0047570651384844	0.0208495086621337	0.0183165689822737	0.0208576234018169	0.0744768308414151	0.0750406833270939	0.0730109243382252	0.0642960008862302	0.0646680414909662	0.0623186135171632	0.0840158261676909	0.08375356590641	0.0927228239481204
ORF62, ORF61, ORF60,ORF59	E/L	cluster_8	0	0	0.0344827586206897	0.0141467727674624	0.0106995884773663	0.0130232558139535	0.0149882903981265	0.0175889174254806	0.0170061029966399	0.0291081818480655	0.0317455180894441	0.0307957788544501	0.0382964082157763	0.0386396991377729	0.0374416042497587	0.0615995733634489	0.0616395475712063	0.0598937273327148	0.0787577614843233	0.0745173391194065	0.0764995436035728	0.10200509582364	0.103099510603589	0.102464244947291	0.105838561164561	0.106401477589424	0.115210547028729
ORF63	E	cluster_5	0.0256410256410256	0	0	0.0716180371352785	0.0755144032921811	0.0767441860465116	0.0391100702576112	0.0361895867382676	0.0393608996777069	0.0092370402024917	0.00936832567471361	0.00886042344195925	0.00375484314928119	0.00338240689781691	0.00361263654143429	0.0032742786783678	0.0033926197105839	0.00337373546937095	0.00410381173262397	0.00425169418362124	0.00406797180762161	0.00546693253572616	0.00557111637785097	0.0051851354476749	0.00996162707995281	0.0100808820419308	0.0117379326865493
ORF64_1	IE	cluster_11	0.461538461538462	0.615384615384615	0.482758620689655	0.0217506631299735	0.0211934156378601	0.022093023255814	0.00983606557377049	0.00887228578099463	0.00987451141740383	0.00463495611584103	0.00477315384117533	0.00424769363509657	0.00451777940670486	0.00425380664098331	0.00609792550965505	0.00290959853814241	0.00358937972894817	0.00351761536438824	0.00184136829370994	0.00153183231593182	0.0016463615409944	0.00129611166500499	0.00133583674474438	0.00132053089818483	0.00138415083411059	0.00140521386039036	0.00198483992950396
NOIR_1	unknown	cluster_7	0	0	0	0.00477453580901857	0.00473251028806584	0.00627906976744186	0.0014832162373146	0.0014008872285781	0.0020571898786258	0.00236678610170606	0.00210342372661964	0.00219021703059667	0.00287223061618322	0.00272885709044212	0.00280128790919728	0.00295665404010697	0.00320778454181747	0.0032050486959024	0.00247632287774785	0.00263582119200238	0.00257165840707227	0.00201617370111887	0.00219766690264397	0.0022232667099383	0.0038883991124399	0.00386786290000423	0.00416645278305357
ORF65_1	E	cluster_5	0.0512820512820513	0.0256410256410256	0.0689655172413793	0.168346595932803	0.153292181069959	0.157906976744186	0.112724434035909	0.101019534594132	0.112871151340602	0.0502942046612537	0.0493333764804867	0.047537665095905	0.020853591036247	0.0189644101999633	0.0238878118354414	0.00756417194080418	0.0094146687574903	0.00821603814305631	0.00370612965104233	0.00333870684320302	0.00341776319902635	0.00250360031018057	0.00246852780941242	0.00202929041980946	0.00358175646611386	0.00415924503827915	0.00763564498742364
ORF66_1	unknown	cluster_3	0	0	0	0	0	0.000465116279069768	0.00039032006245121	0.000389135341271694	0.000617156963587739	0.00254758226225305	0.00228140573425668	0.0024722904360523	0.00281239247834607	0.00249954136855623	0.00250236999205732	0.00150969735469653	0.00201529958203402	0.00187043863522477	0.000995876137069985	0.000970287801113921	0.000733568686620291	0.000526199180237067	0.000634060759026132	0.000514783231495781	0.000357749754047044	0.000394775800243445	0.00049620998237599
ORF68, ORF67_1	L	cluster_1	0.0769230769230769	0.0512820512820513	0.103448275862069	0.132979664014147	0.130041152263374	0.131395348837209	0.177985948477752	0.174721768230991	0.170335321950216	0.133772722790178	0.132515694777037	0.129720581403066	0.0794650470477359	0.0823702073014126	0.0864556021487928	0.0442792273486577	0.0436270622536773	0.045471008201154	0.0220496333972744	0.021812375371498	0.0222613088365851	0.0126343192644289	0.0131552217673674	0.0132053089818483	0.0167205420760559	0.0178354066895699	0.0205028831511045
ORF69, ORF70	E/L	cluster_12	0.0769230769230769	0.0769230769230769	0.137931034482759	0.0606542882404951	0.0592592592592593	0.0534883720930233	0.0391881342701015	0.0432718499494124	0.0421038195158747	0.0211531507839979	0.0222639311371432	0.0212052830689587	0.0215118105524556	0.0209938543386535	0.0198652307219295	0.0195201907316346	0.0192705569501005	0.0197611593742713	0.00904977375565611	0.00916807371131264	0.00930298470759369	0.00551678298438019	0.0057003909015359	0.00540149361743399	0.00477851457191409	0.00546576494860865	0.00453861026983557
ORF71, ORF72, ORF73	L	cluster_8	0	0	0	0.000530503978779841	0	0.000232558139534884	0.000936768149882904	0.00070044361428905	0.000617156963587739	0.0041418756779856	0.00456281146851337	0.00401539788942723	0.00625308540398223	0.00717758209502844	0.00723381359478687	0.0136068826514207	0.0129205745392536	0.0134949418774838	0.0205792122552918	0.021571713436576	0.0218195004230524	0.0182397252686385	0.0187201822155191	0.0184799719480442	0.0169718186890175	0.0173137386678197	0.0186634840785038
ORF74, ORF75, ORF76, ORF67 _2	L	cluster_1	0.0769230769230769	0	0.0344827586206897	0.0809902740937224	0.084156378600823	0.0834883720930232	0.160733801717408	0.152618880846759	0.146129054378386	0.122086716413004	0.122241278881626	0.119765049445809	0.0666297664816671	0.0645867730691616	0.0627727625993902	0.0336368413210048	0.0338129110346596	0.0350521192516261	0.0201681627087831	0.0205021048369229	0.0209942356506046	0.0112329677633765	0.0119363476869094	0.0118996993367503	0.0140970438797109	0.014916885594913	0.0151900142018719
NOIR_2	unknown	cluster_7	0	0	0	0.00477453580901857	0.00473251028806584	0.00627906976744186	0.0014832162373146	0.0014008872285781	0.0020571898786258	0.00236678610170606	0.00210342372661964	0.00219021703059667	0.00285727108172394	0.00272885709044212	0.00280128790919728	0.00295665404010697	0.00320778454181747	0.00320008732021215	0.00247298101151607	0.00264346125342848	0.00257165840707227	0.00201617370111887	0.00219766690264397	0.0022232667099383	0.00387988126115306	0.00386786290000423	0.00416645278305357
